id,Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Policy Start Date,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
372605,52.0,Female,5538.0,Married,,Master's,Employed,8.09314457192605,Rural,Basic,0.0,18.0,497.0,3.0,2020-02-10 15:21:39.274993,Average,No,Weekly,Apartment,2742.0
551204,60.0,Female,39711.0,Married,4.0,Bachelor's,Employed,,Suburban,Comprehensive,0.0,3.0,340.0,3.0,2020-10-16 15:21:39.097737,Poor,No,Weekly,Apartment,1347.0
240320,58.0,Female,2364.0,Married,2.0,Bachelor's,,34.45248164689432,Urban,Comprehensive,2.0,19.0,,7.0,2021-01-02 15:21:39.126661,Poor,No,Monthly,House,2196.0
1047361,39.0,Male,9094.0,Divorced,0.0,Bachelor's,,26.24166085142068,Rural,Basic,1.0,17.0,761.0,5.0,2022-05-11 15:21:39.134960,Poor,Yes,Rarely,Condo,684.0
555362,47.0,Male,43189.0,Divorced,,PhD,,26.69192135726308,Suburban,Comprehensive,1.0,4.0,319.0,4.0,2020-07-28 15:21:39.181605,Poor,Yes,Weekly,Apartment,1714.0
1062538,55.0,Female,569.0,Divorced,0.0,Master's,Employed,23.18309968012919,Urban,Basic,1.0,15.0,613.0,5.0,2021-09-22 15:21:39.191219,Good,No,Weekly,House,3858.0
552662,28.0,Female,23998.0,Single,0.0,High School,Employed,46.66470335767664,Suburban,Basic,0.0,12.0,459.0,4.0,2023-04-20 15:21:39.288099,Good,Yes,Weekly,Condo,1216.0
1021194,22.0,Male,2989.0,Single,2.0,High School,Unemployed,25.9552218564723,Suburban,Premium,,19.0,749.0,9.0,2022-03-18 15:21:39.134960,Good,No,Rarely,House,38.0
886200,,Female,34363.0,Single,2.0,Bachelor's,,16.322328558776473,Urban,Premium,0.0,11.0,,7.0,2022-09-28 15:21:39.134960,Good,Yes,Monthly,Condo,1604.0
609792,55.0,Male,1037.0,Divorced,2.0,Master's,Employed,,Suburban,Comprehensive,,9.0,,2.0,2020-05-14 15:21:39.246098,Average,Yes,Weekly,Condo,1487.0
184524,48.0,Female,15438.0,Single,4.0,PhD,,37.017068957574615,Urban,Comprehensive,0.0,1.0,498.0,3.0,2023-03-08 15:21:39.114118,Poor,Yes,Rarely,Apartment,1641.0
408157,49.0,Female,25762.0,Married,3.0,PhD,,35.99070033037534,Suburban,Basic,3.0,10.0,545.0,7.0,2020-08-28 15:21:39.091080,Good,Yes,Rarely,Condo,2155.0
1164950,38.0,Male,1216.0,Married,3.0,Master's,Unemployed,15.286957596520836,Rural,Premium,2.0,18.0,679.0,1.0,2020-04-07 15:21:39.134960,Good,Yes,Rarely,Apartment,966.0
475763,56.0,Female,5905.0,Single,1.0,Bachelor's,Employed,15.083822634040692,Urban,Comprehensive,,13.0,550.0,5.0,2022-06-28 15:21:39.155231,Average,Yes,Monthly,House,518.0
533547,33.0,Female,29093.0,Married,2.0,PhD,Employed,23.972111814775328,Rural,Comprehensive,0.0,1.0,,2.0,2022-11-15 15:21:39.134960,Average,No,Rarely,Apartment,25.0
722394,55.0,Male,26395.0,Divorced,0.0,High School,Employed,28.329430434922493,Urban,Premium,1.0,12.0,721.0,5.0,2020-10-12 15:21:39.274993,Good,No,Daily,House,798.0
324056,41.0,Female,6925.0,Single,3.0,Master's,,47.23571446708036,Suburban,Premium,,1.0,586.0,4.0,2020-12-25 15:21:39.271453,Poor,Yes,Daily,Condo,645.0
193880,59.0,Female,27536.0,Married,0.0,PhD,,17.97723047101615,Urban,Basic,,13.0,494.0,9.0,2020-02-16 15:21:39.207847,Average,No,Monthly,Condo,173.0
1192565,59.0,Female,9559.0,Married,,Master's,Self-Employed,43.23302979804754,Rural,Basic,,6.0,809.0,2.0,2019-11-27 15:21:39.085129,Good,No,Weekly,Apartment,1372.0
